epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,13396.2,1.16187,0.76744,1.31985,1.32613,0.19174,0.25555,0.15679,0.08112,0.19267,0.23888,0.15279,0.07882,2.13059,0.54371,3.21057,2.26154,0.0005075,0.0005075,0.0005075
62,13522.6,1.09373,0.76723,1.22477,1.26854,0.42047,0.1865,0.19257,0.09895,0.42047,0.1865,0.19257,0.1002,2.12435,0.60476,3.0812,2.22878,0.000495125,0.000495125,0.000495125
63,13644.7,1.10885,0.79084,1.22178,1.27518,0.34612,0.23771,0.2161,0.11436,0.34612,0.23771,0.2167,0.11297,2.20964,0.59632,3.03746,2.2701,0.00048275,0.00048275,0.00048275
64,13767.7,1.1545,0.78614,1.21583,1.28082,0.25171,0.16792,0.16979,0.08208,0.25171,0.16792,0.17346,0.08527,2.15323,0.57574,3.1499,2.19651,0.000470375,0.000470375,0.000470375
65,13890.3,1.08275,0.7582,1.16594,1.25532,0.24377,0.19109,0.13165,0.07304,0.24377,0.19109,0.13165,0.07372,2.18906,0.58753,3.26764,2.28522,0.000458,0.000458,0.000458
66,14042.7,1.12247,0.80576,1.25972,1.28437,0.35055,0.25686,0.18098,0.09366,0.35055,0.25686,0.18083,0.09248,2.10737,0.6051,3.19514,2.17534,0.000445625,0.000445625,0.000445625
67,14172.4,1.09875,0.75624,1.20414,1.29087,0.29774,0.25251,0.21536,0.11489,0.29774,0.25251,0.21763,0.11301,2.15028,0.58966,3.07233,2.16528,0.00043325,0.00043325,0.00043325
68,14311.9,1.06083,0.75684,1.19044,1.25118,0.41484,0.18769,0.19951,0.10273,0.41484,0.18769,0.1993,0.1034,2.12501,0.59127,3.19553,2.22954,0.000420875,0.000420875,0.000420875
69,14454.9,1.06816,0.77848,1.14385,1.23821,0.45066,0.17876,0.19389,0.11307,0.45505,0.17876,0.18897,0.10853,2.08264,0.59291,3.1884,2.22522,0.0004085,0.0004085,0.0004085
70,14596.1,1.07665,0.7402,1.16251,1.25125,0.24649,0.23114,0.15721,0.09397,0.24649,0.23114,0.15838,0.0929,2.07744,0.56078,3.31498,2.17434,0.000396125,0.000396125,0.000396125
71,14737.6,1.04504,0.78144,1.11578,1.23738,0.25669,0.23828,0.17884,0.10401,0.25669,0.23828,0.1788,0.10043,2.10031,0.56512,3.13891,2.18144,0.00038375,0.00038375,0.00038375
72,14884.4,1.07202,0.79259,1.11624,1.23199,0.20309,0.20257,0.15323,0.08221,0.20309,0.20257,0.15361,0.08089,2.02586,0.5583,3.17381,2.07154,0.000371375,0.000371375,0.000371375
73,15026.1,1.03062,0.75641,1.07677,1.21357,0.37171,0.14232,0.16133,0.08897,0.17506,0.24734,0.16722,0.08793,2.1149,0.59203,3.11902,2.1192,0.000359,0.000359,0.000359
74,15166.2,1.07012,0.7617,1.13912,1.24141,0.43211,0.14715,0.16224,0.08725,0.43211,0.14715,0.16259,0.08457,2.17674,0.6233,3.24187,2.13475,0.000346625,0.000346625,0.000346625
75,15314.5,1.08714,0.75678,1.1649,1.27855,0.27115,0.21586,0.16953,0.08666,0.27115,0.21586,0.17111,0.08503,2.10019,0.63157,3.18231,2.13932,0.00033425,0.00033425,0.00033425
76,15457.5,1.0025,0.71633,1.07132,1.20766,0.22685,0.18319,0.15136,0.0847,0.22685,0.18319,0.15255,0.08431,2.12294,0.62717,3.31307,2.14048,0.000321875,0.000321875,0.000321875
